tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0260637	tvSeries	Meet Ricky Gervais	Meet Ricky Gervais	0	2000.0	2000	25	Comedy,Talk-Show
tt0260639	tvSeries	Olympic Sunrise	Olympic Sunrise	0	2000.0			Sport
tt0260646	tvSeries	Police Dog Academy	Police Dog Academy	0	2000.0		30	Documentary
tt0260647	tvSeries	Preston Pig	Preston Pig	0	2000.0	2000	15	Animation,Family
tt0260650	tvSeries	Reel Classics	Reel Classics	0	2001.0			
tt0260653	tvSeries	Sheep in the Big City	Sheep in the Big City	0	2000.0	2023	30	Animation,Comedy,Family
tt0260658	tvSeries	Time Gentlemen Please	Time Gentlemen Please	0	2000.0	2002	26	Comedy
tt0260661	tvSeries	Vets in the Country	Vets in the Country	0	2000.0			
tt0260662	tvSeries	The Zeta Project	The Zeta Project	0	2001.0	2003	30	Action,Adventure,Animation
tt0260668	movie	1132 Pleasant Street	1132 Pleasant Street	0	2000.0		86	Crime,Drama
tt0260671	movie	24 Hours	24 chasa	0	2000.0		86	Crime,Drama
tt0260672	video	24/7 35: Layin Pipe	24/7 35: Layin Pipe	1	2000.0		83	Adult
tt0260688	movie	Ali Zaoua: Prince of the Streets	Ali Zaoua, prince de la rue	0	2000.0		90	Crime,Drama
tt0260694	video	Amazing G-Spot and Female Ejaculation	Amazing G-Spot and Female Ejaculation	1	2000.0			Adult
tt0260695	movie	Hometown Legend	Hometown Legend	0	2002.0		108	Drama,Family,Sport
tt0260713	movie	Etoiles: Dancers of the Paris Opera Ballet	Tout près des étoiles: Les danseurs de l'Opéra de Paris	0	2001.0		100	Documentary,Music
tt0260731	movie	3rd World Hero	Bayaning 3rd World	0	2000.0		93	Drama
tt0260732	video	Behind the Scenes 2	Behind the Scenes 2	1	2000.0		83	Adult
tt0260746	movie	Big Bad Love	Big Bad Love	0	2001.0		111	Comedy,Drama,Romance
tt0260749	video	Black Booty Cam	Black Booty Cam	1	2000.0		122	Adult
tt0260750	video	Black Cherry Coeds 14	Black Cherry Coeds 14	1	2000.0		69	Adult
tt0260758	movie	Blind Target	Blind Target	0	2000.0		90	Action,Adventure,Thriller
tt0260760	movie	Great Idea	Bon plan	0	2000.0		90	Comedy,Drama
tt0260762	video	Booty Talk 14: Spunkylennium, Party 2000!	Booty Talk 14: Spunkylennium, Party 2000!	1	2000.0		140	Adult
tt0260767	movie	Roland's Pass	La brèche de Roland	0	2000.0		47	Adventure,Comedy,Drama
tt0260775	movie	Calle 54	Calle 54	0	2000.0		105	Documentary,Music
tt0260776	short	Camera	Camera	0	2000.0		6	Drama,Short
tt0260784	short	Carpe Diem	Carpe Diem	0	2000.0		20	Drama,Short
tt0260795	movie	Superconductor	Chaodao	0	2000.0			Drama
tt0260796	movie	Chasing Buddha	Chasing Buddha	0	2000.0		52	Documentary
tt0260798	movie	What Is a Good Teacher	Chi chung sze loi liu	0	2000.0		89	Drama
tt0260800	video	Chillin' with Jake Steed's Freaks Whoes & Flows 16	Chillin' with Jake Steed's Freaks Whoes & Flows 16	1	2000.0		130	Adult
tt0260801	video	Chillin' with Jake Steed's Freaks Whoes & Flows 17	Chillin' with Jake Steed's Freaks Whoes & Flows 17	1	2000.0		130	Adult
tt0260802	video	Chillin' with Jake Steed's Freaks Whoes & Flows 18	Chillin' with Jake Steed's Freaks Whoes & Flows 18	1	2000.0			Adult
tt0260803	video	Chillin' with Jake Steed's Freaks Whoes & Flows 19	Chillin' with Jake Steed's Freaks Whoes & Flows 19	1	2000.0		120	Adult
tt0260804	video	Chillin' with Jake Steed's Freaks Whoes & Flows 21	Chillin' with Jake Steed's Freaks Whoes & Flows 21	1	2000.0		120	Adult
tt0260805	video	Chillin' with Jake Steed's Freaks Whoes & Flows 7	Chillin' with Jake Steed's Freaks Whoes & Flows 7	1	2000.0			Adult
tt0260807	video	Chocolate Swerve	Chocolate Swerve	1	2000.0		63	Adult
tt0260813	movie	College Try	College Try	0	2001.0			
tt0260814	movie	Colourful	Karafuru	0	2000.0		98	Drama,Fantasy,Mystery
tt0260836	video	A Cum Sucking Whore Named Tricia Deveraux	A Cum Sucking Whore Named Tricia Deveraux	1	2000.0		120	Adult
tt0260861	video	Dirty Deeds Done Dirt Cheap	Dirty Deeds Done Dirt Cheap	1	2000.0			Adult
tt0260866	movie	Don't Say a Word	Don't Say a Word	0	2001.0		113	Drama,Mystery,Thriller
tt0260872	video	Ebony Cheerleaders	Ebony Cheerleaders	1	2000.0			Adult
tt0260878	movie	Emotional Backgammon	Emotional Backgammon	0	2003.0		93	Drama
tt0260881	movie	The End of the Bar	The End of the Bar	0	2002.0			
tt0260900	short	Ferie - gli italiani e le vacanze	Ferie - gli italiani e le vacanze	0	2000.0		26	Short
tt0260910	movie	Fortuna	Fortuna	0	2000.0		85	Comedy
tt0260917	short	Funky Town	Funky Town	0	2000.0			Short
tt0260921	video	Gangland 10	Gangland 10	1	2000.0		90	Adult
tt0260922	video	Gangland Auditions	Gangland Auditions	1	2000.0			Adult
tt0260924	movie	A Gentleman's Game	A Gentleman's Game	0	2002.0		112	Drama,Sport
tt0260931	tvSeries	Honour of the Gods	Fung sun bong	0	2001.0	2001	45	Action,Adventure,Comedy
tt0260938	video	The Grassroots Guide to Lobbying	The Grassroots Guide to Lobbying	1	2000.0			Adult
tt0260948	short	The Heart of the World	The Heart of the World	0	2000.0		6	Action,Fantasy,Romance
